,Names,Date,Location,Notes,Link
82,DivHacks,Sep 23rd - 24th        ,"
New York City,
          New York
","
In-Person Only
",https://columbiadivhacks.com/
83,Hack And Wellness 2,Sep 23rd - 25th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8399-hack-and-wellness-2
84,HackRice 12,Sep 23rd - 25th        ,"
Houston,
          Texas
","
In-Person Only
",https://hack.rice.edu/
85,Paradigm Conf,Sep 23rd - 25th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://esolangconf.com/
86,SBUHacks,Sep 23rd - 25th        ,"
Stony Brook,
          New York
","
In-Person Only
",https://sbuhacks.org/
87,Teacher's Hack 2,Sep 23rd - 25th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8400-teacher-s-hack-2
88,HackMTY,Sep 24th - 25th        ,"
Monterrey,
          Mexico
","
In-Person Only
",https://hackmty.com
89,Los Altos hacks VI,Sep 24th        ,"
Sunnyvale,
          California
","
In-Person Only
",https://losaltoshacks.com
90,WWPHacks,Sep 24th - 25th        ,"
Everywhere,
          Worldwide
","
Digital Only
",http://wwphacks.org/
91,DevJams,Sep 30th - Oct 2nd        ,"
Vellore,
          India
","
In-Person Only
",https://devjams.dscvit.com/
92,Shark Hacks 4,Sep 30th - Oct 2nd        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8407-shark-hacks-4
93,Slam Dunk Hacks 2,Sep 30th - Oct 2nd        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8406-slam-dunk-hacks-2
94,AIHacks4Good,Oct 1st - 2nd        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://aihacks4good.github.io/
95,hackUMBC,Oct 1st - 2nd        ,"
Baltimore,
          Maryland
","
In-Person Only
",https://www.hackumbc.org/
96,HackUTA,Oct 1st - 2nd        ,"
Arlington,
          Texas
","
In-Person Only
",https://hackuta.org/
97,HackVSIT 4.0,Oct 1st - 2nd        ,"
Delhi,
          India
","
Hybrid, In-Person Focus
",https://hack-vsit.tech/
98,MAIS Hacks,Oct 1st - 2nd        ,"
Montreal,
          Quebec, Canada
","
In-Person Only
",https://maishacks.com
99,The GoldenHack,Oct 1st - 2nd        ,"
Waterloo,
          Canada
","
In-Person Only
",https://www.thegoldenhack.ca
100,Hack And Snack,Oct 7th - 9th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8523-hack-and-snack
101,RoboHacks 2,Oct 7th - 9th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8521-robohacks-2
102,TAMU Datathon,Oct 8th - 9th        ,"
Everywhere,
          Worldwide
","
Hybrid, Digital Focus
",https://tamudatathon.com/
103,TIE U - Appathon,Oct 8th - 9th        ,"
Everywhere,
          Worldwide
","
Hybrid, Digital Focus
",https://appathon22.devpost.com/rules
104,BeagleHacks,Oct 14th - 16th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8522-huskyhacks
105,BigRed//Hacks,Oct 14th - 16th        ,"
Ithaca,
          New York
","
Hybrid, In-Person Focus
",https://bigredhacks.com/
106,DandyHacks,Oct 14th - 16th        ,"
Rochester,
          New York
","
In-Person Only
",https://dandyhacks.net/
107,Hackathon Ensenada,Oct 14th - 15th        ,"
Ensenada,
          Mexico
","
In-Person Only
",https://wecancode.org/hackathon-2022/
108,Hackfest,Oct 14th - 16th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://hackfest.remotebase.com/
109,HackHarvard 2022,Oct 14th - 16th        ,"
Cambridge,
          Massachusetts
","
In-Person Only
",https://hackharvard.io/
110,Hack the Valley,Oct 14th - 16th        ,"
Toronto,
          Ontario
","
In-Person Only
",https://hackthevalley.io/
111,Hack WashU,Oct 14th - 16th        ,"
Everywhere,
          Worldwide
","
Digital Only
",http://hackwashu.com/
112,YeeHaw Hacks 2,Oct 14th - 16th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8524-yeehaw-hacks-2
113,Ada Hack,Oct 15th        ,"
Edinburgh,
          United Kingdom
","
In-Person Only
",https://adahack.net/
114,Cal Hacks,Oct 15th - 16th        ,"
San Francisco,
          California
","
In-Person Only
",https://calhacks.io/
115,Girls Hoo Hack,Oct 15th - 16th        ,"
Charlottesville,
          Virginia
","
Hybrid, Digital Focus
",https://gwcuva.com/hack
116,HackTX,Oct 15th - 16th        ,"
Austin ,
          Texas
","
In-Person Only
",https://hacktx.com
117,HACKUIOWA 2022,Oct 15th - 16th        ,"
Iowa City,
          Iowa
","
In-Person Only
",https://hack.uiowa.edu/
118,Kent Hack Enough,Oct 15th - 16th        ,"
Kent,
          Ohio
","
In-Person Only
",https://khe.io/
119,SacHacks,Oct 15th - 16th        ,"
Sacramento,
          California
","
Digital Only
",https://sachacks.io/
120,Technica,Oct 15th - 16th        ,"
College Park,
          Maryland
","
Hybrid, In-Person Focus
",https://gotechnica.org/
121,DeepDiveHacks,Oct 21st - 23rd        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8673-deepdivehacks
122,HackGT 9,Oct 21st - 23rd        ,"
Atlanta,
          Georgia
","
In-Person Only
",https://2022.hack.gt/
123,Hack or Treat 2,Oct 21st - 23rd        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8404-hack-or-treat-2
124,Pitt Challenge,Oct 21st - 22nd        ,"
Pittsburgh,
          Pennsylvania
","
In-Person Only
",https://pittchallenge.com/
125,UNT NSBEHack,Oct 21st - 22nd        ,"
Denton,
          Texas
","
In-Person Only
",https://untnsbepresident.wixsite.com/my-site
126,VandyHacks IX,Oct 21st - 23rd        ,"
Nashville,
          Tennessee
","
In-Person Only
",https://vandyhacks.org/
127,DubHacks,Oct 22nd - 23rd        ,"
Seattle,
          Washington
","
In-Person Only
",https://dubhacks.co
128,HackDuke,Oct 22nd - 23rd        ,"
Durham,
          North Carolina
","
In-Person Only
",https://2022.hackduke.org/
129,MakeUC,Oct 22nd - 23rd        ,"
Cincinnati,
          Ohio
","
Hybrid, In-Person Focus
",https://makeuc.io/
130,ROBOHackIT 2022,Oct 22nd - 23rd        ,"
Everywhere,
          Worldwide
","
Hybrid, Digital Focus
",https://robocompsci.github.io/ROBOHackIT2022/
131,Global Hack Week October,Oct 23rd - 30th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://organize.mlh.io/participants/events/7952-global-hack-week-october-2022
132,Agent: Hacker 2,Oct 28th - 31st        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8722-agent-hacker-2
133,Hack from the Past 2,Oct 28th - 30th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8721-hack-from-the-past-2
134,CodeRed Odyssey,Oct 29th - 30th        ,"
Houston,
          Texas
","
In-Person Only
",https://uhcode.red
135,HackTheMidlands 7.0,Oct 29th - 30th        ,"
Birmingham,
          United Kingdom
","
In-Person Only
",https://hackthemidlands.com/
136,TechTogether Boston,Oct 29th - 30th        ,"
Boston,
          Massachusetts
","
In-Person Only
",https://organize.mlh.io/participants/events/8321-techtogether-boston
137,ClockHacks,Nov 4th - 6th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://clockhacks.ca
138,Hack-Cade 2,Nov 4th - 6th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8724-hack-cade-2
139,HackNC ,Nov 4th - 6th        ,"
Chapel Hill,
          North Carolina
","
In-Person Only
",https://www.hacknc.com
140,Neighborhood Hacks 2,Nov 4th - 6th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8725-neighborhood-hacks-2
141,TigerHacks,Nov 4th - 6th        ,"
Columbia,
          Missouri
","
Hybrid, In-Person Focus
",https://tigerhacks.com
142,YCP Hacks,Nov 4th - 6th        ,"
York,
          Pennsylvania
","
Hybrid, In-Person Focus
",http://ycphacks.io/#about
143,CodeQuantum,Nov 5th        ,"
San Antonio,
          Texas
","
In-Person Only
",https://www.cqhacks.org
144,DemonHacks,Nov 5th - 6th        ,"
Chicago,
          Illinois
","
In-Person Only
",https://www.demonhacks.org/
145,hackCBS 5.0,Nov 5th - 6th        ,"
Delhi,
          IN
","
In-Person Only
",https://hackcbs.tech/
146,HackNJIT,Nov 5th - 6th        ,"
Newark,
          New Jersey
","
In-Person Only
",https://hacknjit.org
147,hackPHS,Nov 5th - 6th        ,"
Princeton,
          New Jersey
","
In-Person Only
",http://hackphs.tech
148,HackPSU,Nov 5th - 6th        ,"
University Park,
          Pennsylvania
","
In-Person Only
",https://hackpsu.org/live
149,HackRPI ,Nov 5th - 6th        ,"
Troy,
          New York
","
Hybrid, In-Person Focus
",https://hackrpi.com
150,jacobsHack!,Nov 5th - 6th        ,"
Bremen,
          Germany
","
In-Person Only
",https://jacobshack.com/
151,NewHacks 2022,Nov 5th - 6th        ,"
Toronto,
          Ontario
","
In-Person Only
",https://www.newhacks.ca/
152,Do-Re-Mi Hacks 3,Nov 11th - 13th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8727-do-re-mi-hacks-3
153,Hack2Educate,Nov 11th - 13th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://www.pages.beyondexams.org/hack2educate
154,Hack K-State,Nov 11th - 13th        ,"
Manhattan,
          Kansas
","
In-Person Only
",https://hackkstate.tech/
155,HackPrinceton,Nov 11th - 13th        ,"
Princeton,
          New Jersey
","
In-Person Only
",http://hackprinceton.com
156,HackUMass,Nov 11th - 13th        ,"
Amherst,
          Massachusetts
","
In-Person Only
",https://hackumass.com
157,HarvestHacks,Nov 11th - 13th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8726-harvesthacks
158,REVA Hack 2022,Nov 11th - 13th        ,"
Bengaluru,
          Karnataka
","
Hybrid, In-Person Focus
",https://revahack.com/
159,VTHacks X,Nov 11th - 13th        ,"
Blacksburg,
          Virginia
","
In-Person Only
",https://vthacks.com/
160,BostonHacks 2022,Nov 12th - 13th        ,"
Boston,
          Massachusetts
","
In-Person Only
",https://bostonhacks.io
161,Concode,Nov 12th - 13th        ,"
Everywhere,
          Worldwide
","
Digital Only
",https://concode.io/
162,Datathon FME,Nov 12th - 13th        ,"
Barcelona,
          Spain
","
In-Person Only
",https://datathon.cat
163,GreatUniHack,Nov 12th - 13th        ,"
Manchester,
          United Kingdom
","
In-Person Only
",https://greatunihack.com/
164,HackDown 2022,Nov 12th - 13th        ,"
Ewing,
          New Jersey
","
Hybrid, In-Person Focus
",https://hackdown.net
165,HackHolyoke 2022,Nov 12th - 13th        ,"
Everywhere,
          Worldwide
","
Hybrid, Digital Focus
",https://hackholyoke.org
166,HackUTD IX,Nov 12th - 13th        ,"
Dallas,
          Texas
","
In-Person Only
",https://ix.hackutd.co/
167,OxfordHack,Nov 12th - 13th        ,"
Oxford,
          United Kingdom
","
In-Person Only
",https://oxfordhack22.co.uk/
168,WHACK,Nov 12th - 13th        ,"
Wellesley,
          Massachusetts
","
In-Person Only
",https://www.wellesleyhacks.org/
169,Hackcoming 2,Nov 18th - 20th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8728-hackcoming-2
170,Hacks and Crafts 2,Nov 18th - 20th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8729-hacks-and-crafts-2
171,Hack Western 9,Nov 18th - 20th        ,"
London,
          Ontario
","
In-Person Only
",http://hackwestern.com/
172,DurHack 2022.2,Nov 19th - 20th        ,"
Durham,
          United Kingdom
","
In-Person Only
",https://durhack.com
